,date,t1,id1,g1,g2,id2,t2,tourn
1987,2013.07.31,Sisley,829,0,1,307,Colo Colo,Copa Sudamericana
1988,2013.07.31,Sport Huancayo,733,1,3,510,Emelec,Copa Sudamericana
1989,2013.08.01,Mineros,923,2,2,503,Barcelona SC,Copa Sudamericana
1990,2013.08.01,Cobreloa,305,0,0,820,Penarol,Copa Sudamericana
1991,2013.08.01,Guarani,611,0,0,118,Oriente Petrolero,Copa Sudamericana
1992,2013.08.01,Ind. del Valle,515,0,0,909,Dep. Anzoategui,Copa Sudamericana
1993,2013.08.01,Wanderers,834,1,2,614,Libertad Asuncion,Copa Sudamericana
1994,2013.08.06,Lara,920,1,1,516,LDU Loja,Copa Sudamericana
1995,2013.08.06,U. De Chile,330,5,0,121,Real Potosi,Copa Sudamericana
1996,2013.08.06,River Plate2,826,4,0,105,Blooming,Copa Sudamericana
1997,2013.08.06,FBC Melgar,721,2,0,411,Dep. Pasto,Copa Sudamericana
1998,2013.08.06,Atl. Nacional,403,4,0,707,Ayacucho,Copa Sudamericana
1999,2013.08.07,Emelec,510,4,0,733,Sport Huancayo,Copa Sudamericana
2000,2013.08.07,Juan Aurich,725,2,3,401,Aguilas,Copa Sudamericana
2001,2013.08.07,Cerro Porteno,604,0,1,329,U. Catolica,Copa Sudamericana
2002,2013.08.07,La Equidad,419,0,0,930,Trujillanos,Copa Sudamericana
2003,2013.08.07,Colo Colo,307,2,0,829,Sisley,Copa Sudamericana
2004,2013.08.07,The Strongest,126,1,1,615,Nacional Asuncion,Copa Sudamericana
2005,2013.08.08,Penarol,820,0,2,305,Cobreloa,Copa Sudamericana
2006,2013.08.08,Oriente Petrolero,118,1,4,611,Guarani,Copa Sudamericana
2007,2013.08.08,Dep. Anzoategui,909,0,2,515,Ind. del Valle,Copa Sudamericana
2008,2013.08.08,Libertad Asuncion,614,0,0,834,Wanderers,Copa Sudamericana
2009,2013.08.08,Barcelona SC,503,0,2,923,Mineros,Copa Sudamericana
2010,2013.08.13,Belgrano,9,1,0,42,Velez Sarsfield,Copa Sudamericana
2011,2013.08.14,Racing Club,30,1,2,24,Lanus,Copa Sudamericana
2012,2013.08.20,La Equidad,419,0,0,305,Cobreloa,Copa Sudamericana
